user_id,monthly_income,total_savings,expected_contribution,family_members,married_children,unmarried_children,youngest_unmarried_age,ages_of_unmarried,priority_bridal_dress,priority_groom_dress,priority_furniture,priority_electronics,priority_jewelry,priority_kitchen_items,priority_decoration,priority_miscellaneous,estimated_budget,actual_spent,responsibility_score,category_breakdown
USR-001,270000,830000,0,10,1,1,22,[22],Medium,High,Medium,Low,Medium,Low,High,Low,630800,561592,0.95,"{""bridal_dress"": 97546, ""groom_dress"": 78037, ""furniture"": 130061, ""electronics"": 78037, ""jewelry"": 130061, ""kitchen_items"": 62429, ""decoration"": 39018, ""miscellaneous"": 15607}"
USR-002,155000,1590000,100000,10,2,4,13,"[25, 23, 16, 13]",Medium,High,High,High,Low,Medium,Low,Low,422000,531186,0.5,"{""bridal_dress"": 61218, ""groom_dress"": 48974, ""furniture"": 97949, ""electronics"": 73462, ""jewelry"": 65299, ""kitchen_items"": 48974, ""decoration"": 16324, ""miscellaneous"": 9794}"
USR-003,240000,790000,50000,4,0,2,17,"[27, 17]",Medium,High,High,Medium,Medium,Medium,High,Medium,511500,582745,0.75,"{""bridal_dress"": 71705, ""groom_dress"": 57364, ""furniture"": 114728, ""electronics"": 71705, ""jewelry"": 95607, ""kitchen_items"": 57364, ""decoration"": 28682, ""miscellaneous"": 14341}"
USR-004,70000,1370000,0,6,1,4,12,"[18, 18, 17, 12]",Low,Low,Medium,High,Medium,High,Medium,Low,168000,176896,0.5,"{""bridal_dress"": 20200, ""groom_dress"": 13466, ""furniture"": 33667, ""electronics"": 30300, ""jewelry"": 33667, ""kitchen_items"": 24240, ""decoration"": 8416, ""miscellaneous"": 4040}"
USR-005,280000,720000,0,11,1,2,16,"[17, 16]",High,Medium,High,High,Medium,Low,High,Medium,432000,559739,0.75,"{""bridal_dress"": 71602, ""groom_dress"": 39779, ""furniture"": 95469, ""electronics"": 71602, ""jewelry"": 79558, ""kitchen_items"": 38187, ""decoration"": 23867, ""miscellaneous"": 11933}"
USR-006,130000,1920000,0,8,2,2,16,"[16, 16]",Low,Medium,High,Low,High,Medium,Low,Low,468000,567342,0.75,"{""bridal_dress"": 55936, ""groom_dress"": 46613, ""furniture"": 111872, ""electronics"": 55936, ""jewelry"": 111872, ""kitchen_items"": 55936, ""decoration"": 18645, ""miscellaneous"": 11187}"
USR-007,165000,1770000,200000,4,2,1,18,[18],Medium,High,High,Low,Medium,Low,High,Medium,942400,1205690,0.95,"{""bridal_dress"": 139133, ""groom_dress"": 111307, ""furniture"": 222614, ""electronics"": 111307, ""jewelry"": 185511, ""kitchen_items"": 89045, ""decoration"": 55653, ""miscellaneous"": 27826}"
USR-008,205000,1120000,0,12,2,2,18,"[18, 18]",Medium,High,Medium,Low,Low,Medium,High,High,716799,610598,0.8,"{""bridal_dress"": 111304, ""groom_dress"": 89043, ""furniture"": 148405, ""electronics"": 89043, ""jewelry"": 118724, ""kitchen_items"": 89043, ""decoration"": 44521, ""miscellaneous"": 26713}"
USR-009,225000,1460000,0,10,0,2,25,"[26, 25]",Low,Medium,Medium,Medium,Low,Low,Medium,Medium,918000,778040,0.85,"{""bridal_dress"": 121589, ""groom_dress"": 101324, ""furniture"": 202649, ""electronics"": 151986, ""jewelry"": 162119, ""kitchen_items"": 97271, ""decoration"": 50662, ""miscellaneous"": 30397}"
USR-010,295000,1660000,50000,9,3,4,14,"[27, 21, 18, 14]",High,Low,Medium,Low,Low,Low,High,Medium,689000,715048,0.5,"{""bridal_dress"": 133930, ""groom_dress"": 59524, ""furniture"": 148812, ""electronics"": 89287, ""jewelry"": 119049, ""kitchen_items"": 71429, ""decoration"": 44643, ""miscellaneous"": 22321}"
