user_id,monthly_income,total_savings,expected_contribution,family_members,married_children,unmarried_children,youngest_unmarried_age,ages_of_unmarried,priority_bridal_dress,priority_groom_dress,priority_furniture,priority_electronics,priority_jewelry,priority_kitchen_items,priority_decoration,priority_miscellaneous,estimated_budget,actual_spent,responsibility_score,category_breakdown
USR-001,155000,330000,0,11,3,4,11,"[28, 23, 21, 11]",Low,Low,Low,High,Low,Medium,Low,Low,132000,168689,0.5,"{""bridal_dress"": 17918, ""groom_dress"": 11945, ""furniture"": 23891, ""electronics"": 26877, ""jewelry"": 23891, ""kitchen_items"": 17918, ""decoration"": 5972, ""miscellaneous"": 3583}"
USR-002,95000,570000,200000,6,1,2,17,"[24, 17]",Low,High,High,Low,Medium,High,Low,High,492000,459925,0.75,"{""bridal_dress"": 57882, ""groom_dress"": 57882, ""furniture"": 115764, ""electronics"": 57882, ""jewelry"": 96470, ""kitchen_items"": 69458, ""decoration"": 19294, ""miscellaneous"": 17364}"
USR-003,195000,1170000,0,4,2,1,15,[15],Medium,Medium,Low,Low,High,High,Low,Medium,842400,677443,0.9,"{""bridal_dress"": 128414, ""groom_dress"": 85609, ""furniture"": 136975, ""electronics"": 102731, ""jewelry"": 205463, ""kitchen_items"": 123278, ""decoration"": 34243, ""miscellaneous"": 25682}"
USR-004,140000,350000,100000,7,2,3,11,"[21, 11, 11]",Medium,Low,Low,High,Low,Low,Low,Medium,228000,186171,0.6,"{""bridal_dress"": 38169, ""groom_dress"": 20357, ""furniture"": 40714, ""electronics"": 45803, ""jewelry"": 40714, ""kitchen_items"": 24428, ""decoration"": 10178, ""miscellaneous"": 7633}"
USR-005,185000,1470000,0,6,3,1,28,[28],High,Low,Medium,Medium,High,High,Low,Low,888000,1081647,1.0,"{""bridal_dress"": 151077, ""groom_dress"": 67145, ""furniture"": 167863, ""electronics"": 125897, ""jewelry"": 201436, ""kitchen_items"": 120862, ""decoration"": 33572, ""miscellaneous"": 20143}"
USR-006,285000,730000,0,7,0,2,19,"[28, 19]",High,Medium,Medium,Low,High,Low,High,Medium,467199,436574,0.8,"{""bridal_dress"": 81964, ""groom_dress"": 45535, ""furniture"": 91071, ""electronics"": 54643, ""jewelry"": 109286, ""kitchen_items"": 43714, ""decoration"": 27321, ""miscellaneous"": 13660}"
USR-007,300000,250000,200000,12,3,3,15,"[21, 17, 15]",High,High,Low,High,High,High,Low,High,240000,172892,0.6,"{""bridal_dress"": 39272, ""groom_dress"": 26181, ""furniture"": 34909, ""electronics"": 39272, ""jewelry"": 52363, ""kitchen_items"": 31418, ""decoration"": 8727, ""miscellaneous"": 7854}"
USR-008,75000,400000,100000,4,1,1,16,[16],Medium,Medium,High,Medium,Medium,High,High,Low,378000,463245,0.9,"{""bridal_dress"": 53089, ""groom_dress"": 35393, ""furniture"": 84943, ""electronics"": 53089, ""jewelry"": 70786, ""kitchen_items"": 50966, ""decoration"": 21235, ""miscellaneous"": 8494}"
USR-009,130000,570000,150000,11,2,4,12,"[27, 19, 14, 12]",Low,High,Low,Medium,Medium,High,Medium,High,303000,214833,0.5,"{""bridal_dress"": 37102, ""groom_dress"": 37102, ""furniture"": 49469, ""electronics"": 46377, ""jewelry"": 61836, ""kitchen_items"": 44522, ""decoration"": 15459, ""miscellaneous"": 11130}"
USR-010,35000,1720000,50000,5,3,1,16,[16],High,Medium,Low,High,Medium,High,Low,High,196200,231479,0.9,"{""bridal_dress"": 33957, ""groom_dress"": 18865, ""furniture"": 30184, ""electronics"": 33957, ""jewelry"": 37730, ""kitchen_items"": 27166, ""decoration"": 7546, ""miscellaneous"": 6791}"
USR-011,210000,860000,50000,12,2,2,22,"[26, 22]",High,Medium,Low,High,Low,Low,High,Low,590400,550422,0.8,"{""bridal_dress"": 110699, ""groom_dress"": 61499, ""furniture"": 98400, ""electronics"": 110699, ""jewelry"": 98400, ""kitchen_items"": 59039, ""decoration"": 36899, ""miscellaneous"": 14759}"
USR-012,275000,1940000,0,12,3,1,13,[13],High,Low,High,High,High,Low,Medium,Medium,1188000,1399536,0.9,"{""bridal_dress"": 195109, ""groom_dress"": 86715, ""furniture"": 260145, ""electronics"": 195109, ""jewelry"": 260145, ""kitchen_items"": 104058, ""decoration"": 54197, ""miscellaneous"": 32518}"
USR-013,95000,100000,200000,11,1,2,28,"[28, 28]",Medium,High,Low,High,Medium,High,Low,Medium,238000,173000,0.85,"{""bridal_dress"": 34863, ""groom_dress"": 27890, ""furniture"": 37187, ""electronics"": 41835, ""jewelry"": 46484, ""kitchen_items"": 33468, ""decoration"": 9296, ""miscellaneous"": 6972}"
USR-014,85000,1300000,200000,4,0,2,13,"[16, 13]",Low,Low,High,Medium,High,High,Medium,Medium,456000,474800,0.75,"{""bridal_dress"": 51916, ""groom_dress"": 34611, ""furniture"": 103833, ""electronics"": 64895, ""jewelry"": 103833, ""kitchen_items"": 62299, ""decoration"": 21631, ""miscellaneous"": 12979}"
USR-015,300000,690000,0,6,0,1,20,[20],Low,High,High,High,Medium,Medium,High,Low,524400,562680,0.95,"{""bridal_dress"": 59142, ""groom_dress"": 59142, ""furniture"": 118285, ""electronics"": 88714, ""jewelry"": 98571, ""kitchen_items"": 59142, ""decoration"": 29571, ""miscellaneous"": 11828}"
USR-016,215000,1600000,0,10,1,2,16,"[16, 16]",Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,774000,848450,0.75,"{""bridal_dress"": 118469, ""groom_dress"": 63183, ""furniture"": 157959, ""electronics"": 118469, ""jewelry"": 157959, ""kitchen_items"": 94775, ""decoration"": 39489, ""miscellaneous"": 23693}"
USR-017,90000,930000,200000,5,0,1,10,[10],Low,Low,Low,High,Medium,Medium,High,Low,568800,441044,0.9,"{""bridal_dress"": 72305, ""groom_dress"": 48203, ""furniture"": 96406, ""electronics"": 108457, ""jewelry"": 120508, ""kitchen_items"": 72305, ""decoration"": 36152, ""miscellaneous"": 14461}"
USR-018,295000,1930000,0,12,2,1,20,[20],High,Low,High,High,Low,Low,Medium,Low,1345200,1370218,0.95,"{""bridal_dress"": 239738, ""groom_dress"": 106550, ""furniture"": 319651, ""electronics"": 239738, ""jewelry"": 213100, ""kitchen_items"": 127860, ""decoration"": 66594, ""miscellaneous"": 31965}"
USR-019,100000,1120000,150000,7,0,3,12,"[25, 17, 12]",Low,Medium,High,High,Medium,High,Low,Medium,378000,423835,0.6,"{""bridal_dress"": 43036, ""groom_dress"": 35863, ""furniture"": 86072, ""electronics"": 64554, ""jewelry"": 71726, ""kitchen_items"": 51643, ""decoration"": 14345, ""miscellaneous"": 10759}"
USR-020,65000,1470000,0,7,0,2,14,"[17, 14]",Low,High,Medium,Low,High,Medium,Low,Medium,234000,171744,0.75,"{""bridal_dress"": 28363, ""groom_dress"": 28363, ""furniture"": 47272, ""electronics"": 28363, ""jewelry"": 56727, ""kitchen_items"": 28363, ""decoration"": 9454, ""miscellaneous"": 7090}"
USR-021,85000,920000,200000,11,3,3,10,"[24, 11, 10]",Medium,Medium,Medium,Medium,Medium,Medium,Low,High,364800,296339,0.6,"{""bridal_dress"": 54939, ""groom_dress"": 36626, ""furniture"": 73253, ""electronics"": 54939, ""jewelry"": 73253, ""kitchen_items"": 43951, ""decoration"": 14650, ""miscellaneous"": 13185}"
USR-022,265000,1810000,100000,12,1,2,13,"[28, 13]",High,High,Low,Medium,Low,High,Medium,High,1029000,1035095,0.75,"{""bridal_dress"": 185220, ""groom_dress"": 123480, ""furniture"": 164640, ""electronics"": 154350, ""jewelry"": 164640, ""kitchen_items"": 148176, ""decoration"": 51450, ""miscellaneous"": 37044}"
USR-023,35000,910000,50000,12,2,2,15,"[24, 15]",High,Low,Low,Medium,Low,Medium,Low,Medium,163500,175917,0.75,"{""bridal_dress"": 31989, ""groom_dress"": 14217, ""furniture"": 28434, ""electronics"": 26657, ""jewelry"": 28434, ""kitchen_items"": 21326, ""decoration"": 7108, ""miscellaneous"": 5331}"
USR-024,170000,330000,0,9,3,4,11,"[27, 23, 16, 11]",Low,Medium,Medium,Medium,Medium,Medium,Medium,High,132000,104874,0.5,"{""bridal_dress"": 16229, ""groom_dress"": 13524, ""furniture"": 27049, ""electronics"": 20286, ""jewelry"": 27049, ""kitchen_items"": 16229, ""decoration"": 6762, ""miscellaneous"": 4868}"
USR-025,225000,310000,200000,8,1,1,18,[18],High,Medium,Medium,High,Medium,Low,Low,Low,425600,536571,0.95,"{""bridal_dress"": 75105, ""groom_dress"": 41725, ""furniture"": 83450, ""electronics"": 75105, ""jewelry"": 83450, ""kitchen_items"": 40056, ""decoration"": 16690, ""miscellaneous"": 10014}"
USR-026,70000,400000,150000,6,0,3,20,"[28, 27, 20]",Medium,High,Low,Medium,Low,Low,Medium,Medium,305499,285323,0.65,"{""bridal_dress"": 50027, ""groom_dress"": 40021, ""furniture"": 53362, ""electronics"": 50027, ""jewelry"": 53362, ""kitchen_items"": 32017, ""decoration"": 16675, ""miscellaneous"": 10005}"
USR-027,115000,760000,100000,11,3,3,11,"[25, 21, 11]",Medium,High,Medium,Low,High,Medium,Low,Low,391200,383718,0.6,"{""bridal_dress"": 57869, ""groom_dress"": 46295, ""furniture"": 77159, ""electronics"": 46295, ""jewelry"": 92591, ""kitchen_items"": 46295, ""decoration"": 15431, ""miscellaneous"": 9259}"
USR-028,260000,1000000,0,5,2,2,10,"[11, 10]",Medium,Medium,Low,Low,Medium,Medium,High,Low,600000,656105,0.75,"{""bridal_dress"": 96359, ""groom_dress"": 64239, ""furniture"": 102783, ""electronics"": 77087, ""jewelry"": 128479, ""kitchen_items"": 77087, ""decoration"": 38543, ""miscellaneous"": 15417}"
USR-029,180000,1520000,0,7,0,2,16,"[28, 16]",Low,Medium,Medium,Medium,High,High,Medium,High,648000,676609,0.75,"{""bridal_dress"": 74769, ""groom_dress"": 62307, ""furniture"": 124615, ""electronics"": 93461, ""jewelry"": 149538, ""kitchen_items"": 89723, ""decoration"": 31153, ""miscellaneous"": 22430}"
USR-030,220000,610000,0,11,0,4,10,"[28, 19, 12, 10]",High,High,Medium,High,High,Low,Low,Medium,244000,305103,0.5,"{""bridal_dress"": 40441, ""groom_dress"": 26961, ""furniture"": 44935, ""electronics"": 40441, ""jewelry"": 53922, ""kitchen_items"": 21569, ""decoration"": 8987, ""miscellaneous"": 6740}"
USR-031,285000,1300000,0,8,0,1,19,[19],Medium,High,Medium,High,High,High,Medium,High,988000,1078834,0.95,"{""bridal_dress"": 132321, ""groom_dress"": 105857, ""furniture"": 176428, ""electronics"": 158785, ""jewelry"": 211714, ""kitchen_items"": 127028, ""decoration"": 44107, ""miscellaneous"": 31757}"
USR-032,85000,1310000,0,11,0,3,11,"[12, 12, 11]",Medium,High,Medium,Medium,High,Medium,Low,High,244800,316573,0.6,"{""bridal_dress"": 34772, ""groom_dress"": 27818, ""furniture"": 46363, ""electronics"": 34772, ""jewelry"": 55636, ""kitchen_items"": 27818, ""decoration"": 9272, ""miscellaneous"": 8345}"
USR-033,130000,730000,100000,11,3,4,11,"[28, 24, 20, 11]",Low,Low,Medium,Medium,Low,Low,Low,High,342000,363650,0.5,"{""bridal_dress"": 46530, ""groom_dress"": 31020, ""furniture"": 77551, ""electronics"": 58163, ""jewelry"": 62040, ""kitchen_items"": 37224, ""decoration"": 15510, ""miscellaneous"": 13959}"
USR-034,90000,410000,0,5,1,1,21,[21],Medium,High,Low,High,High,Medium,Medium,Low,311600,329581,0.95,"{""bridal_dress"": 44770, ""groom_dress"": 35816, ""furniture"": 47754, ""electronics"": 53724, ""jewelry"": 71632, ""kitchen_items"": 35816, ""decoration"": 14923, ""miscellaneous"": 7163}"
USR-035,300000,1760000,150000,8,1,2,21,"[26, 21]",Low,Medium,Low,Low,Low,Low,Low,Low,1246400,1548704,0.8,"{""bridal_dress"": 182400, ""groom_dress"": 152000, ""furniture"": 243200, ""electronics"": 182400, ""jewelry"": 243200, ""kitchen_items"": 145920, ""decoration"": 60800, ""miscellaneous"": 36480}"
USR-036,290000,1690000,0,5,0,3,18,"[28, 19, 18]",Medium,High,Low,Medium,Low,Low,Low,Low,878799,795360,0.65,"{""bridal_dress"": 146466, ""groom_dress"": 117173, ""furniture"": 156230, ""electronics"": 146466, ""jewelry"": 156230, ""kitchen_items"": 93738, ""decoration"": 39057, ""miscellaneous"": 23434}"
USR-037,240000,1430000,150000,7,3,1,17,[17],Low,High,Medium,High,High,Low,Low,Low,1164600,876524,0.9,"{""bridal_dress"": 137011, ""groom_dress"": 137011, ""furniture"": 228352, ""electronics"": 205517, ""jewelry"": 274023, ""kitchen_items"": 109609, ""decoration"": 45670, ""miscellaneous"": 27402}"
USR-038,80000,660000,0,8,3,4,23,"[28, 26, 24, 23]",Low,Medium,High,Low,Medium,High,High,High,211200,188822,0.55,"{""bridal_dress"": 24847, ""groom_dress"": 20705, ""furniture"": 49694, ""electronics"": 24847, ""jewelry"": 41411, ""kitchen_items"": 29816, ""decoration"": 12423, ""miscellaneous"": 7454}"
USR-039,120000,870000,0,6,1,3,23,"[27, 27, 23]",High,Medium,High,Medium,Medium,High,Low,Medium,403200,381404,0.7,"{""bridal_dress"": 66952, ""groom_dress"": 37195, ""furniture"": 89269, ""electronics"": 55793, ""jewelry"": 74391, ""kitchen_items"": 53561, ""decoration"": 14878, ""miscellaneous"": 11158}"
USR-040,230000,170000,200000,11,1,4,12,"[24, 18, 14, 12]",Medium,High,High,High,High,Low,High,High,168000,189247,0.5,"{""bridal_dress"": 22459, ""groom_dress"": 17967, ""furniture"": 35935, ""electronics"": 26951, ""jewelry"": 35935, ""kitchen_items"": 14374, ""decoration"": 8983, ""miscellaneous"": 5390}"
USR-041,130000,430000,0,5,2,1,12,[12],High,Low,High,Low,Medium,Medium,Medium,High,309600,322431,0.9,"{""bridal_dress"": 54315, ""groom_dress"": 24140, ""furniture"": 72421, ""electronics"": 36210, ""jewelry"": 60350, ""kitchen_items"": 36210, ""decoration"": 15087, ""miscellaneous"": 10863}"
USR-042,140000,1720000,0,10,0,3,13,"[26, 17, 13]",Medium,High,Medium,Low,High,Medium,Low,Low,403200,348816,0.6,"{""bridal_dress"": 59644, ""groom_dress"": 47715, ""furniture"": 79526, ""electronics"": 47715, ""jewelry"": 95431, ""kitchen_items"": 47715, ""decoration"": 15905, ""miscellaneous"": 9543}"
USR-043,30000,1520000,150000,5,0,3,20,"[24, 21, 20]",Low,High,Medium,Low,Low,Medium,Low,Medium,191099,149416,0.65,"{""bridal_dress"": 25199, ""groom_dress"": 25199, ""furniture"": 41999, ""electronics"": 25199, ""jewelry"": 33599, ""kitchen_items"": 25199, ""decoration"": 8399, ""miscellaneous"": 6299}"
USR-044,50000,1120000,0,10,2,2,22,"[28, 22]",Low,Low,Medium,Medium,Medium,Medium,High,Medium,191999,160368,0.8,"{""bridal_dress"": 23999, ""groom_dress"": 15999, ""furniture"": 39999, ""electronics"": 29999, ""jewelry"": 39999, ""kitchen_items"": 23999, ""decoration"": 11999, ""miscellaneous"": 5999}"
USR-045,245000,1920000,200000,9,1,4,11,"[25, 23, 20, 11]",Medium,High,High,Low,Low,High,High,High,688000,634765,0.5,"{""bridal_dress"": 100194, ""groom_dress"": 80155, ""furniture"": 160310, ""electronics"": 80155, ""jewelry"": 106873, ""kitchen_items"": 96186, ""decoration"": 40077, ""miscellaneous"": 24046}"
USR-046,235000,370000,0,6,2,2,28,"[28, 28]",Low,High,Low,Low,High,Low,Medium,Medium,251600,300587,0.85,"{""bridal_dress"": 32256, ""groom_dress"": 32256, ""furniture"": 43008, ""electronics"": 32256, ""jewelry"": 64512, ""kitchen_items"": 25805, ""decoration"": 13440, ""miscellaneous"": 8064}"
USR-047,220000,900000,0,7,2,2,19,"[24, 19]",High,Low,Medium,Medium,High,Low,High,High,576000,667256,0.8,"{""bridal_dress"": 99500, ""groom_dress"": 44222, ""furniture"": 110556, ""electronics"": 82917, ""jewelry"": 132667, ""kitchen_items"": 53067, ""decoration"": 33166, ""miscellaneous"": 19900}"
USR-048,105000,1730000,200000,8,3,1,23,[23],Low,Low,Low,High,High,High,Medium,Low,704000,734396,1.0,"{""bridal_dress"": 84649, ""groom_dress"": 56432, ""furniture"": 112865, ""electronics"": 126973, ""jewelry"": 169298, ""kitchen_items"": 101579, ""decoration"": 35270, ""miscellaneous"": 16929}"
USR-049,235000,1990000,0,7,1,2,17,"[23, 17]",High,Low,Low,Medium,Medium,Medium,Medium,High,846000,695715,0.75,"{""bridal_dress"": 156024, ""groom_dress"": 69344, ""furniture"": 138688, ""electronics"": 130020, ""jewelry"": 173360, ""kitchen_items"": 104016, ""decoration"": 43340, ""miscellaneous"": 31204}"
USR-050,150000,1750000,150000,6,1,1,28,[28],Low,High,Medium,High,Low,High,Low,Medium,870000,676867,1.0,"{""bridal_dress"": 105030, ""groom_dress"": 105030, ""furniture"": 175050, ""electronics"": 157545, ""jewelry"": 140040, ""kitchen_items"": 126036, ""decoration"": 35010, ""miscellaneous"": 26257}"
USR-051,295000,990000,100000,5,3,1,14,[14],Low,High,High,High,Low,Medium,High,Medium,802800,1025397,0.9,"{""bridal_dress"": 93530, ""groom_dress"": 93530, ""furniture"": 187060, ""electronics"": 140295, ""jewelry"": 124706, ""kitchen_items"": 93530, ""decoration"": 46765, ""miscellaneous"": 23382}"
USR-052,230000,1400000,0,6,1,3,14,"[24, 17, 14]",Low,Medium,High,High,Low,Low,Low,Medium,662400,609947,0.6,"{""bridal_dress"": 82285, ""groom_dress"": 68571, ""furniture"": 164571, ""electronics"": 123428, ""jewelry"": 109714, ""kitchen_items"": 65828, ""decoration"": 27428, ""miscellaneous"": 20571}"
USR-053,255000,740000,0,9,0,4,13,"[25, 17, 15, 13]",Medium,Medium,Medium,Low,High,Medium,Medium,High,296000,313594,0.5,"{""bridal_dress"": 43700, ""groom_dress"": 29133, ""furniture"": 58267, ""electronics"": 34960, ""jewelry"": 69921, ""kitchen_items"": 34960, ""decoration"": 14566, ""miscellaneous"": 10488}"
USR-054,50000,350000,50000,7,0,1,28,[28],Low,Low,Medium,Low,Low,High,Medium,Medium,290000,213883,1.0,"{""bridal_dress"": 38495, ""groom_dress"": 25663, ""furniture"": 64159, ""electronics"": 38495, ""jewelry"": 51327, ""kitchen_items"": 46194, ""decoration"": 16039, ""miscellaneous"": 9623}"
USR-055,230000,1610000,0,8,1,3,20,"[21, 21, 20]",Medium,High,Medium,Low,Low,Low,Low,Low,717599,727712,0.65,"{""bridal_dress"": 118285, ""groom_dress"": 94628, ""furniture"": 157714, ""electronics"": 94628, ""jewelry"": 126171, ""kitchen_items"": 75702, ""decoration"": 31542, ""miscellaneous"": 18925}"
USR-056,240000,1440000,200000,6,2,1,11,[11],Medium,Medium,Low,Medium,Low,High,Low,Medium,1216800,1113891,0.9,"{""bridal_dress"": 195417, ""groom_dress"": 130278, ""furniture"": 208445, ""electronics"": 195417, ""jewelry"": 208445, ""kitchen_items"": 187600, ""decoration"": 52111, ""miscellaneous"": 39083}"
USR-057,80000,1450000,100000,8,1,4,13,"[24, 20, 14, 13]",High,High,High,High,Medium,Low,Medium,Medium,242000,288893,0.5,"{""bridal_dress"": 39744, ""groom_dress"": 26496, ""furniture"": 52992, ""electronics"": 39744, ""jewelry"": 44160, ""kitchen_items"": 21197, ""decoration"": 11040, ""miscellaneous"": 6624}"
USR-058,110000,350000,0,9,3,3,20,"[28, 20, 20]",High,Low,High,Medium,Medium,Medium,High,Low,181999,140760,0.65,"{""bridal_dress"": 31081, ""groom_dress"": 13813, ""furniture"": 41441, ""electronics"": 25901, ""jewelry"": 34534, ""kitchen_items"": 20720, ""decoration"": 10360, ""miscellaneous"": 4144}"
USR-059,65000,1800000,0,8,1,4,10,"[28, 20, 10, 10]",Medium,Low,Low,High,Low,Low,High,High,156000,146661,0.5,"{""bridal_dress"": 25379, ""groom_dress"": 13535, ""furniture"": 27071, ""electronics"": 30455, ""jewelry"": 27071, ""kitchen_items"": 16242, ""decoration"": 10151, ""miscellaneous"": 6091}"
USR-060,35000,1930000,50000,5,2,1,18,[18],Medium,Medium,High,Low,Medium,High,Medium,Low,207100,227816,0.95,"{""bridal_dress"": 30218, ""groom_dress"": 20145, ""furniture"": 48350, ""electronics"": 24175, ""jewelry"": 40291, ""kitchen_items"": 29010, ""decoration"": 10072, ""miscellaneous"": 4835}"
USR-061,80000,1550000,100000,8,3,1,25,[25],High,Medium,Medium,Low,Medium,Medium,Medium,Low,484000,342100,1.0,"{""bridal_dress"": 87645, ""groom_dress"": 48692, ""furniture"": 97384, ""electronics"": 58430, ""jewelry"": 97384, ""kitchen_items"": 58430, ""decoration"": 24346, ""miscellaneous"": 11686}"
USR-062,150000,1190000,50000,5,1,3,21,"[28, 26, 21]",Low,Medium,Medium,Low,Medium,Medium,Low,Medium,500499,430927,0.65,"{""bridal_dress"": 64580, ""groom_dress"": 53817, ""furniture"": 107634, ""electronics"": 64580, ""jewelry"": 107634, ""kitchen_items"": 64580, ""decoration"": 21526, ""miscellaneous"": 16145}"
USR-063,100000,920000,0,7,0,3,15,"[28, 26, 15]",Medium,High,Low,High,High,High,High,Medium,288000,263521,0.6,"{""bridal_dress"": 39852, ""groom_dress"": 31881, ""furniture"": 42509, ""electronics"": 47822, ""jewelry"": 63763, ""kitchen_items"": 38258, ""decoration"": 15940, ""miscellaneous"": 7970}"
USR-064,180000,460000,0,7,2,3,15,"[28, 24, 15]",High,High,High,Low,High,Low,Medium,Low,220800,237580,0.6,"{""bridal_dress"": 37143, ""groom_dress"": 24762, ""furniture"": 49525, ""electronics"": 24762, ""jewelry"": 49525, ""kitchen_items"": 19810, ""decoration"": 10317, ""miscellaneous"": 4952}"
USR-065,75000,1040000,0,9,2,3,11,"[19, 13, 11]",High,Low,Low,Medium,Low,High,Medium,Low,216000,164612,0.6,"{""bridal_dress"": 41012, ""groom_dress"": 18227, ""furniture"": 36455, ""electronics"": 34177, ""jewelry"": 36455, ""kitchen_items"": 32810, ""decoration"": 11392, ""miscellaneous"": 5468}"
USR-066,80000,1640000,100000,8,1,3,14,"[28, 18, 14]",High,High,Low,Low,Low,Medium,Low,Medium,290400,233531,0.6,"{""bridal_dress"": 56206, ""groom_dress"": 37470, ""furniture"": 49961, ""electronics"": 37470, ""jewelry"": 49961, ""kitchen_items"": 37470, ""decoration"": 12490, ""miscellaneous"": 9367}"
USR-067,170000,1690000,100000,9,1,3,22,"[24, 23, 22]",Medium,Medium,Low,Medium,High,Medium,Low,High,595399,764890,0.65,"{""bridal_dress"": 89668, ""groom_dress"": 59779, ""furniture"": 95646, ""electronics"": 89668, ""jewelry"": 143469, ""kitchen_items"": 71734, ""decoration"": 23911, ""miscellaneous"": 21520}"
USR-068,65000,1220000,50000,12,1,1,23,[23],High,Low,High,High,Low,High,Low,High,362000,281047,1.0,"{""bridal_dress"": 61471, ""groom_dress"": 27320, ""furniture"": 81962, ""electronics"": 61471, ""jewelry"": 54641, ""kitchen_items"": 49177, ""decoration"": 13660, ""miscellaneous"": 12294}"
USR-069,255000,980000,150000,5,3,1,16,[16],Low,Medium,High,Low,High,High,Low,Medium,840600,768203,0.9,"{""bridal_dress"": 97555, ""groom_dress"": 81295, ""furniture"": 195110, ""electronics"": 97555, ""jewelry"": 195110, ""kitchen_items"": 117066, ""decoration"": 32518, ""miscellaneous"": 24388}"
USR-070,105000,1640000,50000,11,3,2,15,"[16, 15]",Low,Medium,Low,Low,High,Medium,High,Low,415500,473993,0.75,"{""bridal_dress"": 52817, ""groom_dress"": 44014, ""furniture"": 70423, ""electronics"": 52817, ""jewelry"": 105635, ""kitchen_items"": 52817, ""decoration"": 26408, ""miscellaneous"": 10563}"
USR-071,180000,1230000,150000,5,1,2,25,"[26, 25]",Medium,High,Medium,High,High,Medium,High,Low,861900,820366,0.85,"{""bridal_dress"": 118176, ""groom_dress"": 94541, ""furniture"": 157568, ""electronics"": 141811, ""jewelry"": 189082, ""kitchen_items"": 94541, ""decoration"": 47270, ""miscellaneous"": 18908}"
USR-072,250000,980000,150000,6,3,1,18,[18],Medium,Medium,High,Low,High,Medium,Low,Low,887300,1015057,0.95,"{""bridal_dress"": 128718, ""groom_dress"": 85812, ""furniture"": 205949, ""electronics"": 102974, ""jewelry"": 205949, ""kitchen_items"": 102974, ""decoration"": 34324, ""miscellaneous"": 20594}"
